GEOID,state,county,strokeRate
13151,Georgia,Henry,78.6
13153,Georgia,Houston,87.4
13155,Georgia,Irwin,89.8
13157,Georgia,Jackson,102.5
13159,Georgia,Jasper,78.9
13161,Georgia,Jeff Davis,121.7
13163,Georgia,Jefferson,98.7
13165,Georgia,Jenkins,102.3
13167,Georgia,Johnson,109.6
13169,Georgia,Jones,81.2
13171,Georgia,Lamar,98.1
13173,Georgia,Lanier,90.8
13175,Georgia,Laurens,111.3
13177,Georgia,Lee,84.9
13179,Georgia,Liberty,80.1
13181,Georgia,Lincoln,79.0
13183,Georgia,Long,68.3
13185,Georgia,Lowndes,70.6
13187,Georgia,Lumpkin,72.8
13189,Georgia,McDuffie,78.7
13191,Georgia,McIntosh,65.3
13193,Georgia,Macon,97.2
13195,Georgia,Madison,105.6
13197,Georgia,Marion,65.9
13199,Georgia,Meriwether,100.8
13201,Georgia,Miller,114.0
13205,Georgia,Mitchell,98.1
13207,Georgia,Monroe,86.7
13209,Georgia,Montgomery,123.6
13211,Georgia,Morgan,80.2
13213,Georgia,Murray,111.8
13215,Georgia,Muscogee,84.0
13217,Georgia,Newton,85.5
13219,Georgia,Oconee,70.9
13221,Georgia,Oglethorpe,88.5
13223,Georgia,Paulding,66.4
13225,Georgia,Peach,111.9
13227,Georgia,Pickens,83.6
13229,Georgia,Pierce,81.0
13231,Georgia,Pike,105.5
13233,Georgia,Polk,107.6
13235,Georgia,Pulaski,87.4
13237,Georgia,Putnam,71.6
13239,Georgia,Quitman,97.0
13241,Georgia,Rabun,68.2
13243,Georgia,Randolph,96.1
13245,Georgia,Richmond,84.3
13247,Georgia,Rockdale,69.0
13249,Georgia,Schley,87.3
13251,Georgia,Screven,120.1
13253,Georgia,Seminole,91.3
13255,Georgia,Spalding,86.6
13257,Georgia,Stephens,113.4
13259,Georgia,Stewart,88.2
13261,Georgia,Sumter,91.4
13263,Georgia,Talbot,80.6
13265,Georgia,Taliaferro,77.4
13267,Georgia,Tattnall,88.9
13269,Georgia,Taylor,94.2
13271,Georgia,Telfair,104.0
13273,Georgia,Terrell,102.3
13275,Georgia,Thomas,88.9
13277,Georgia,Tift,82.9
13279,Georgia,Toombs,110.8
13281,Georgia,Towns,70.3
13283,Georgia,Treutlen,119.1
13285,Georgia,Troup,103.0
13287,Georgia,Turner,79.8
13289,Georgia,Twiggs,95.6
13291,Georgia,Union,76.8
13293,Georgia,Upson,106.1
13295,Georgia,Walker,85.5
13297,Georgia,Walton,87.5
13299,Georgia,Ware,80.4
13301,Georgia,Warren,84.3
13303,Georgia,Washington,68.3
